,country,eastwest,party,party_id,eu_position,eu_position_sd,eu_salience,eu_dissent,eu_blur,eu_cohesion,eu_foreign,eu_intmark,eu_budgets,eu_asylum,lrgen,lrecon,lrecon_sd,lrecon_salience,lrecon_dissent,lrecon_blur,galtan,galtan_sd,galtan_salience,galtan_dissent,galtan_blur,immigrate_policy,immigrate_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,russian_interference,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,eu_econ_require,eu_political_require,eu_googov_require
0,be,1.0,PS,102.0,6.0833335,0.28867513,4.2727275,2.75,2.1666667,6.25,5.4444447,4.7777777,4.25,5.5555553,2.0833333,2.25,0.62158155,8.166667,2.2,1.1428572,2.9166667,1.3789544,4.0,2.5,2.75,3.4166667,4.25,3.4,3.0833333,4.4545455,3.5,1.5833334,8.166667,4.5,4.3636365,2.0,2.0,1.5454545,3.090909,2.0,1.5,2.6363637,3.4545455,3.3333333,6.2727275,6.0,0.11111111,2.1111112,3.3636363,2.1818182,1.9090909,7.5,,,
1,be,1.0,SP/SPA,103.0,6.0,0.42640144,4.181818,2.5,1.7142857,6.0,5.4444447,4.7777777,4.625,5.4444447,3.0833333,3.0833333,0.51492864,7.9166665,2.2,1.4285715,2.75,1.1381804,4.5833335,2.5,2.7777777,4.0833335,4.5,4.181818,3.3333333,5.0,3.8,2.0,8.083333,4.2727275,4.3636365,2.6666667,2.2,2.0,3.6666667,1.9090909,1.6,2.4545455,3.0833333,3.0,5.7272725,5.3333335,0.11111111,2.2222223,3.5454545,2.090909,1.6363636,6.818182,,,
2,be,1.0,ECOLO,104.0,6.5833335,0.51492864,4.818182,2.5,1.4285715,6.0,5.6666665,4.7777777,4.75,6.0,2.0833333,2.5,0.90453404,6.25,3.4,2.0,1.0833334,0.7929615,6.2727275,1.0,1.625,2.0,6.0,2.0,1.75,5.909091,2.7,1.9166666,7.0,0.9166667,9.363636,2.1666667,2.0,2.1818182,2.0,1.0,1.9,2.0,1.75,1.8,5.818182,6.1666665,0.11111111,2.8888888,5.6363635,2.4545455,2.3636363,3.909091,,,
3,be,1.0,AGALEV,105.0,6.5833335,0.51492864,4.818182,2.5,1.2857143,5.875,5.6666665,4.7777777,4.75,6.0,2.4166667,2.6666667,0.88762534,6.25,3.0,2.0,1.1666666,0.8348471,6.4166665,1.0,1.6666666,2.25,5.5833335,2.090909,1.9166666,5.818182,2.7,2.25,7.0,0.8333333,9.5,2.3333333,2.2,2.3636363,2.0833333,0.90909094,1.8,2.0,1.9166666,1.9,5.909091,6.0833335,0.11111111,2.7777777,5.6363635,2.3636363,2.0,4.0,,,
4,be,1.0,PRL/MR,106.0,6.5,0.6741999,5.090909,2.0,1.7142857,5.5,5.7777777,6.0,5.5,5.6666665,6.5,6.9166665,0.9003366,8.083333,2.4,1.2857143,3.1818182,0.9816498,4.4545455,1.5,3.125,5.5833335,4.6666665,4.6,4.9166665,4.181818,4.5,5.8333335,6.0,6.2727275,3.8181818,6.5833335,6.9,6.6363635,4.7272725,2.7272727,1.8,4.4545455,3.3333333,4.4444447,2.7272727,6.4166665,0.11111111,2.3333333,4.6363635,1.7272727,1.6363636,7.0,,,
5,be,1.0,VLD/PVV,107.0,6.8333335,0.38924947,5.090909,1.5,1.2857143,5.0,5.7777777,6.111111,5.5,5.7777777,6.5833335,7.1666665,0.8348471,8.166667,2.6,1.2857143,2.4545455,1.1281521,5.1666665,1.5,2.4444444,5.9166665,4.6666665,4.7272725,4.8333335,4.4545455,4.9,6.0,6.0,6.25,3.8181818,7.0833335,7.4,6.818182,4.8333335,2.0,1.6,4.3636365,3.0,3.5555556,2.5454545,5.6666665,0.11111111,2.2222223,5.7272725,1.7272727,1.5454545,6.6363635,,,
6,be,1.0,PSC/CDH,108.0,6.4166665,0.7929615,4.3636365,2.3333333,2.142857,5.375,6.0,5.5555553,5.875,5.5555553,4.5833335,4.6666665,0.65133893,6.4166665,4.4,2.857143,5.0,1.069045,5.0,3.0,3.375,4.5,3.8181818,4.125,4.181818,4.5454545,3.6666667,3.9166667,5.9166665,4.7777777,4.5,5.0833335,4.7777777,4.4545455,4.3636365,4.4545455,5.9,4.090909,4.090909,6.0,4.7,5.818182,0.11111111,1.75,4.090909,1.7272727,1.5454545,6.7,,,
7,be,1.0,CDV,109.0,6.5833335,0.66855794,4.7272725,2.5,1.8571428,5.125,5.7777777,5.6666665,5.5,5.5555553,5.5833335,5.5833335,0.66855794,6.8333335,5.2,2.7142856,6.25,2.0615528,5.3333335,3.0,3.2222223,5.6666665,4.0833335,5.3636365,5.25,4.818182,4.9,5.0,6.0,5.4545455,4.3636365,5.25,5.5,4.909091,5.0833335,5.3636365,6.8,4.5454545,5.75,7.2,4.4,3.8333333,0.11111111,2.0,3.7272727,1.5454545,1.5454545,6.6363635,,,
8,be,1.0,VU/NVA,110.0,4.25,0.9653073,4.2727275,3.75,4.0,3.5,4.111111,5.6666665,4.375,2.6666667,7.9166665,7.9166665,0.66855794,7.5,2.8,1.5714285,6.090909,1.0444659,5.4166665,5.0,2.4444444,8.416667,8.333333,3.25,7.9166665,8.090909,4.3636365,7.0,5.25,7.8333335,3.6363637,7.6666665,7.5,7.4545455,7.9166665,5.6363635,4.9,6.5454545,8.0,6.285714,4.0,2.25,0.11111111,6.2222223,4.3,5.909091,2.2727273,8.090909,,,
9,be,1.0,VB,112.0,2.25,0.62158155,4.7272725,2.75,3.0,3.0,2.1111112,2.5,2.25,1.7777778,9.583333,5.0,2.628515,4.0,3.6,4.857143,8.0,1.0,6.9166665,2.0,2.4444444,9.833333,9.833333,0.41666666,9.583333,9.727273,1.6363636,4.4166665,4.25,8.333333,2.2,5.6363635,5.0,4.875,9.416667,8.363636,6.1666665,8.545455,9.0,5.1666665,7.6666665,2.090909,0.11111111,8.777778,8.090909,8.909091,4.181818,9.2,,,
